Name,Stars,Forks,Months,TF_version,Torch_version
tensorflow/tensorflow,144895.0,81401.0,60.0,none,none
keras-team/keras,48410.0,18280.0,60.0,none,none
aymericdamien/TensorFlow-Examples,37391.0,14089.0,60.0,none,none
huggingface/transformers,27827.0,6597.0,24.0,none,none
xitu/gold-miner,26373.0,4330.0,60.0,none,none
madewithml/basics,24270.0,4352.0,24.0,ntensorflow==2.0.0,ntorch==1.4.0
google-research/bert,23183.0,6474.0,24.0,n# tensorflow-gpu  >= 1.11.0  # GPU version of TensorFlow.,none
ageron/handson-ml,19884.0,10717.0,48.0,n#tensorflow-transform==0.15.0 # remove if on windows,none
donnemartin/data-science-ipython-notebooks,18527.0,5726.0,60.0,none,none
CorentinJ/Real-Time-Voice-Cloning,17612.0,3319.0,12.0,"b'tensorflow-gpu>=1.10.0,<=1.14.0",none
matterport/Mask_RCNN,16866.0,8081.0,36.0,ntensorflow>=1.3.0,none
MLEveryday/100-Days-Of-ML-Code,15469.0,4350.0,24.0,none,none
machinelearningmindset/TensorFlow-Course,14479.0,2922.0,24.0,ntensorflow,none
mozilla/DeepSpeech,14066.0,2634.0,48.0,none,none
virgili0/Virgilio,12581.0,2487.0,12.0,none,none
deezer/spleeter,12059.0,1120.0,12.0,ntensorflow==1.15.2,none
davidsandberg/facenet,10614.0,4293.0,48.0,b'tensorflow==1.7,none
justadudewhohacks/face-api.js,9984.0,1930.0,24.0,none,none
chiphuyen/stanford-tensorflow-tutorials,9544.0,4321.0,48.0,none,none
lutzroeder/netron,9506.0,1156.0,120.0,none,none
tflearn/tflearn,9423.0,2413.0,48.0,none,none
deeppomf/DeepCreamPy,9401.0,1034.0,24.0,none,none
horovod/horovod,9319.0,1488.0,36.0,none,none
kubeflow/kubeflow,8935.0,1415.0,36.0,none,none
google/dopamine,8874.0,1190.0,24.0,none,none
vahidk/EffectiveTensorflow,8621.0,963.0,36.0,none,none
onnx/onnx,8448.0,1431.0,36.0,none,none
deepmind/sonnet,8343.0,1207.0,36.0,none,none
dragen1860/Deep-Learning-with-TensorFlow-book,8303.0,2460.0,12.0,none,none
Hvass-Labs/TensorFlow-Tutorials,8273.0,4036.0,48.0,ntensorflow,none
MorvanZhou/tutorials,8076.0,4854.0,48.0,none,none
hanxiao/bert-as-service,7603.0,1551.0,24.0,none,none
lexfridman/mit-deep-learning,7569.0,1732.0,36.0,none,none
keras-team/autokeras,7061.0,1171.0,36.0,none,none
vipstone/faceai,6753.0,1691.0,24.0,none,none
carpedm20/DCGAN-tensorflow,6553.0,2586.0,60.0,none,none
graykode/nlp-tutorial,6329.0,1743.0,12.0,none,none
brightmart/text_classification,6212.0,2303.0,36.0,none,none
microsoft/nni,6187.0,820.0,24.0,none,none
tensorlayer/tensorlayer,6095.0,1384.0,48.0,none,none
wiseodd/generative-models,6050.0,1885.0,48.0,none,none
PyTorchLightning/pytorch-lightning,5796.0,642.0,12.0,none,ntorch>=1.3
rasbt/python-machine-learning-book-2nd-edition,5753.0,2476.0,36.0,none,none
nfmcclure/tensorflow_cookbook,5578.0,2382.0,48.0,ntensorflow==1.15.0,none
ufoym/deepo,5568.0,696.0,36.0,none,none
thtrieu/darkflow,5529.0,2005.0,48.0,none,none
tensorpack/tensorpack,5501.0,1667.0,60.0,none,none
tensorflow/swift,5493.0,512.0,24.0,none,none
photoprism/photoprism,5386.0,321.0,24.0,none,none
zihangdai/xlnet,5280.0,1040.0,12.0,none,none
google/seq2seq,5221.0,1240.0,36.0,none,none
dragen1860/TensorFlow-2.x-Tutorials,5013.0,1711.0,12.0,none,none
aymericdamien/TopDeepLearning,4864.0,1018.0,48.0,none,none
transcranial/keras-js,4732.0,513.0,48.0,none,none
cchen156/Learning-to-See-in-the-Dark,4713.0,704.0,24.0,none,none
microsoft/MMdnn,4710.0,884.0,36.0,none,none
keras-rl/keras-rl,4635.0,1214.0,48.0,none,none
Alluxio/alluxio,4610.0,2330.0,96.0,none,none
blei-lab/edward,4507.0,777.0,48.0,none,none
astorfi/TensorFlow-World,4488.0,426.0,36.0,ntensorflow,none
tensorflow/serving,4404.0,1765.0,48.0,none,none
BinRoot/TensorFlow-Book,4395.0,1230.0,48.0,none,none
lyhue1991/eat_tensorflow2_in_30_days,4385.0,1064.0,0.0,none,none
deepmind/graph_nets,4374.0,653.0,24.0,none,none
deepmipt/DeepPavlov,4307.0,784.0,36.0,none,none
ashnkumar/sketch-code,4210.0,557.0,24.0,ntensorflow==1.4.0,none
tensorspace-team/tensorspace,4190.0,372.0,24.0,none,none
PipelineAI/pipeline,3986.0,961.0,60.0,none,none
yandexdataschool/Practical_RL,3958.0,1184.0,36.0,none,none
hunkim/DeepLearningZeroToAll,3899.0,2498.0,36.0,ntensorflow,n# torchvision
jackzhenguo/python-small-examples,3884.0,895.0,12.0,none,none
minimaxir/textgenrnn,3831.0,590.0,36.0,ntensorflow>=2.1.0,none
balancap/SSD-Tensorflow,3792.0,1860.0,36.0,none,none
MorvanZhou/Tensorflow-Tutorial,3742.0,1807.0,36.0,none,none
tensorflow/lucid,3705.0,515.0,24.0,none,none
naturomics/CapsNet-Tensorflow,3690.0,1189.0,36.0,none,none
xitu/tensorflow-docs,3691.0,474.0,24.0,none,none
opencv/cvat,3598.0,905.0,24.0,none,none
hwalsuklee/tensorflow-generative-model-collections,3586.0,849.0,36.0,none,none
yahoo/TensorFlowOnSpark,3488.0,910.0,36.0,ntensorflow>=2.0.0,none
tensorflow/docs,3400.0,3552.0,24.0,none,none
endernewton/tf-faster-rcnn,3364.0,1599.0,36.0,none,none
zeusees/HyperLPR,3343.0,1427.0,36.0,ntensorflow-estimator==1.13.0,none
apachecn/hands-on-ml-zh,3331.0,1401.0,24.0,none,none
pqpo/SmartCropper,3283.0,585.0,36.0,none,none
tensorflow/examples,3267.0,3232.0,24.0,none,none
ildoonet/tf-pose-estimation,3265.0,1338.0,36.0,none,none
hybridgroup/gocv,3235.0,482.0,36.0,none,none
MrGemy95/Tensorflow-Project-Template,3195.0,743.0,24.0,none,none
vespa-engine/vespa,3169.0,375.0,48.0,none,none
tensorflow/adanet,3087.0,464.0,24.0,none,none
jinfagang/tensorflow_poems,3077.0,861.0,36.0,none,none
ymcui/Chinese-BERT-wwm,3074.0,557.0,12.0,none,none
idealo/imagededup,3022.0,228.0,12.0,ntensorflow>1.0,none
CharlesShang/FastMaskRCNN,3012.0,1108.0,36.0,none,none
gaussic/text-classification-cnn-rnn,2992.0,1252.0,36.0,none,none
nl8590687/ASRT_SpeechRecognition,2960.0,982.0,36.0,none,none
Mikoto10032/DeepLearning,2961.0,1120.0,24.0,none,none
tensorflow/probability,2894.0,753.0,36.0,none,none
eragonruan/text-detection-ctpn,2877.0,1248.0,36.0,ntensorflow-gpu==1.4.0,none
migueldeicaza/TensorFlowSharp,2875.0,548.0,36.0,none,none
taki0112/Tensorflow-Cookbook,2829.0,486.0,12.0,none,none
easy-tensorflow/easy-tensorflow,2828.0,349.0,36.0,none,none
